"iso2c";"country";"year";"NY.GDP.PCAP.KD";"GC.DOD.TOTL.CN"
"CH";"Switzerland";1980;54891,4347166342;NA
"CH";"Switzerland";1981;55466,1635220715;NA
"CH";"Switzerland";1982;54420,9719301372;NA
"CH";"Switzerland";1983;54534,4261000724;NA
"CH";"Switzerland";1984;55973,7011024705;NA
"CH";"Switzerland";1985;57774,3443386955;NA
"CH";"Switzerland";1986;58542,7118072917;NA
"CH";"Switzerland";1987;59098,5183655158;NA
"CH";"Switzerland";1988;60588,5971782758;NA
"CH";"Switzerland";1989;62703,5288001857;NA
"CH";"Switzerland";1990;64343,5184213173;45504934744,74
"CH";"Switzerland";1991;62962,39135115;50299725602,59
"CH";"Switzerland";1992;62244,7969746094;59955616824,94
"CH";"Switzerland";1993;61602,7901206341;74194701765,4
"CH";"Switzerland";1994;61889,6659598589;82718528884,95
"CH";"Switzerland";1995;61773,0963092114;93856386385,24
"CH";"Switzerland";1996;61833,0071093772;96283032129,63
"CH";"Switzerland";1997;63127,7396668794;106630374606,14
"CH";"Switzerland";1998;64822,2941465355;119378182241,02
"CH";"Switzerland";1999;65607,2092578829;111891750388,14
"CH";"Switzerland";2000;67807,9268104421;121005090240,44
"CH";"Switzerland";2001;68264,5262471243;118778966285,37
"CH";"Switzerland";2002;67860,244836135;142769871190,04
"CH";"Switzerland";2003;67385,2976593135;139908981889,3
"CH";"Switzerland";2004;68781,6125860233;147034881748,16
"CH";"Switzerland";2005;70471,4385176523;152735908599,78
"CH";"Switzerland";2006;72823,8372534677;142384621502,9
"CH";"Switzerland";2007;75143,7022036991;138291085808,55
"CH";"Switzerland";2008;75793,6330393036;141952281437,66
"CH";"Switzerland";2009;73189,1925566825;131075763235,18
"CH";"Switzerland";2010;74605,7210207051;131270327628,326
"CH";"Switzerland";2011;75029,7578197262;134642394893,25
"CH";"Switzerland";2012;74984,137116844;136871309663,3
"CH";"Switzerland";2013;75499,7067488094;131827950062,72
"CH";"Switzerland";2014;76410,8566570726;136764130115,49
"CH";"Switzerland";2015;76553,2821378352;136659738536,39
"DE";"Germany";1980;26137,1536467146;NA
"DE";"Germany";1981;26235,4927318973;NA
"DE";"Germany";1982;26156,7710919803;NA
"DE";"Germany";1983;26637,8030486739;NA
"DE";"Germany";1984;27484,615402438;NA
"DE";"Germany";1985;28187,365017256;NA
"DE";"Germany";1986;28818,9128083961;NA
"DE";"Germany";1987;29178,1404515453;NA
"DE";"Germany";1988;30141,8546689152;NA
"DE";"Germany";1989;31075,1007537266;NA
"DE";"Germany";1990;32427,3769760571;306335417699,902
"DE";"Germany";1991;33836,4178592717;348123303150,069
"DE";"Germany";1992;34227,568661274;409984507856
"DE";"Germany";1993;33670,2897444989;461548294074,638
"DE";"Germany";1994;34358,3387169289;513413742503,183
"DE";"Germany";1995;34783,2896223;6,68358e+11
"DE";"Germany";1996;34967,4756567331;702075333745,776
"DE";"Germany";1997;35539,1320446806;728437543140,252
"DE";"Germany";1998;36251,1938279544;747442262364,316
"DE";"Germany";1999;36913,1851613998;394942300711,207
"DE";"Germany";2000;37930,486214219;NA
"DE";"Germany";2001;38509,6069067196;NA
"DE";"Germany";2002;38368,6183296711;NA
"DE";"Germany";2003;38073,7606653695;NA
"DE";"Germany";2004;38535,1709892798;NA
"DE";"Germany";2005;38835,3823683537;NA
"DE";"Germany";2006;40362,2941572851;NA
"DE";"Germany";2007;41622,3558290865;NA
"DE";"Germany";2008;42102,8532926964;NA
"DE";"Germany";2009;39804,9212955522;NA
"DE";"Germany";2010;41531,9341978689;NA
"DE";"Germany";2011;43969,259276339;NA
"DE";"Germany";2012;44070,9217011381;NA
"DE";"Germany";2013;44139,0324281303;NA
"DE";"Germany";2014;44933,7204124885;NA
"DE";"Germany";2015;45321,4029527014;NA
"US";"United States";1980;28589,6727276314;NA
"US";"United States";1981;29028,901495469;NA
"US";"United States";1982;28235,0896672765;NA
"US";"United States";1983;29260,5861840075;NA
"US";"United States";1984;31107,5596245214;NA
"US";"United States";1985;32118,7594266507;NA
"US";"United States";1986;32925,2266772199;NA
"US";"United States";1987;33761,1788388647;NA
"US";"United States";1988;34853,4884703288;NA
"US";"United States";1989;35793,8965042645;2,20746e+12
"US";"United States";1990;36059,3016314415;2,44095e+12
"US";"United States";1991;35542,1411052423;2,71337e+12
"US";"United States";1992;36287,3228622686;3,00262e+12
"US";"United States";1993;36797,7976475975;3,30899e+12
"US";"United States";1994;37813,7581778962;3,45076e+12
"US";"United States";1995;38369,1618433617;3,60669e+12
"US";"United States";1996;39356,0917998966;3,77352e+12
